label,turn,learning_seconds,expert_ce,expert_count,expert_entropy,expert_kl,expert_target_entropy,expert_top1,phase_0_16_ce,phase_0_16_count,phase_0_16_kl,phase_0_16_target_entropy,phase_128_256_ce,phase_128_256_count,phase_128_256_kl,phase_128_256_target_entropy,phase_16_64_ce,phase_16_64_count,phase_16_64_kl,phase_16_64_target_entropy,phase_256_2048_ce,phase_256_2048_count,phase_256_2048_kl,phase_256_2048_target_entropy,phase_64_128_ce,phase_64_128_count,phase_64_128_kl,phase_64_128_target_entropy
CNN,0,0.0,3.5389537811279297,102339.0,3.532871723175049,2.7121150493621826,0.8268387317657471,0.04347316175699234,4.322401523590088,18720.0,3.5721757411956787,0.7502257227897644,2.257781505584717,8211.0,1.2726454734802246,0.9851360321044922,3.7836010456085205,53317.0,3.056919574737549,0.7266814112663269,2.149548053741455,97.0,1.371004581451416,0.7785435318946838,2.763491630554199,21994.0,1.6875308752059937,1.0759607553482056
CNN,128,248.8218112597242,1.8575977087020874,102339.0,1.7758539915084839,1.0307589769363403,0.8268387317657471,0.466606080532074,1.7262444496154785,18720.0,0.9760187268257141,0.7502257227897644,1.7909339666366577,8211.0,0.8057979345321655,0.9851360321044922,1.8163098096847534,53317.0,1.0896284580230713,0.7266814112663269,1.3248841762542725,97.0,0.5463406443595886,0.7785435318946838,2.096723794937134,21994.0,1.0207630395889282,1.0759607553482056
CNN,256,498.9414528608322,1.5945543050765991,102339.0,1.5685880184173584,0.767715573310852,0.8268387317657471,0.544582188129425,1.2997794151306152,18720.0,0.5495536923408508,0.7502257227897644,1.755724310874939,8211.0,0.7705882787704468,0.9851360321044922,1.526933193206787,53317.0,0.8002517819404602,0.7266814112663269,1.3761247396469116,97.0,0.5975812077522278,0.7785435318946838,1.9501675367355347,21994.0,0.8742067813873291,1.0759607553482056
CNN,384,730.0995385926217,1.5061787366867065,102339.0,1.4914456605911255,0.6793400049209595,0.8268387317657471,0.5719324946403503,1.2214086055755615,18720.0,0.4711828827857971,0.7502257227897644,1.6017980575561523,8211.0,0.6166620254516602,0.9851360321044922,1.4356225728988647,53317.0,0.7089411616325378,0.7266814112663269,1.1410942077636719,97.0,0.36255067586898804,0.7785435318946838,1.8855109214782715,21994.0,0.8095501661300659,1.0759607553482056
CNN,512,970.6952926153317,1.4281233549118042,102339.0,1.4326224327087402,0.6012846231460571,0.8268387317657471,0.5969082713127136,1.154164433479309,18720.0,0.4039387106895447,0.7502257227897644,1.5537704229354858,8211.0,0.5686343908309937,0.9851360321044922,1.3410272598266602,53317.0,0.6143458485603333,0.7266814112663269,1.062212586402893,97.0,0.28366905450820923,0.7785435318946838,1.8271420001983643,21994.0,0.7511812448501587,1.0759607553482056
CNN,640,1212.9009543149732,1.4290920495986938,102339.0,1.4633705615997314,0.6022533178329468,0.8268387317657471,0.5976607203483582,1.165450930595398,18720.0,0.41522520780563354,0.7502257227897644,1.5570162534713745,8211.0,0.5718802213668823,0.9851360321044922,1.335350751876831,53317.0,0.6086693406105042,0.7266814112663269,1.055762767791748,97.0,0.2772192358970642,0.7785435318946838,1.8346205949783325,21994.0,0.758659839630127,1.0759607553482056
CNN,768,1450.3799244086258,1.3740484714508057,102339.0,1.3615798950195312,0.5472097396850586,0.8268387317657471,0.6139887571334839,1.119701862335205,18720.0,0.3694761395454407,0.7502257227897644,1.521439790725708,8211.0,0.5363037586212158,0.9851360321044922,1.274443507194519,53317.0,0.5477620959281921,0.7266814112663269,1.0708959102630615,97.0,0.2923523783683777,0.7785435318946838,1.7783037424087524,21994.0,0.7023429870605469,1.0759607553482056
CNN,896,1687.8464344698004,1.3491573333740234,102339.0,1.3458709716796875,0.5223186016082764,0.8268387317657471,0.6230567097663879,1.0988082885742188,18720.0,0.34858256578445435,0.7502257227897644,1.458349585533142,8211.0,0.4732135534286499,0.9851360321044922,1.2557984590530396,53317.0,0.5291170477867126,0.7266814112663269,1.00360906124115,97.0,0.22506552934646606,0.7785435318946838,1.7493164539337158,21994.0,0.6733556985855103,1.0759607553482056
CNN,1024,1919.008383766748,1.3404079675674438,102339.0,1.3552863597869873,0.5135692358016968,0.8268387317657471,0.628323495388031,1.081034779548645,18720.0,0.3308090567588806,0.7502257227897644,1.4617115259170532,8211.0,0.47657549381256104,0.9851360321044922,1.2476649284362793,53317.0,0.5209835171699524,0.7266814112663269,1.010789394378662,97.0,0.23224586248397827,0.7785435318946838,1.742162823677063,21994.0,0.6662020683288574,1.0759607553482056
Linear,0,0.0,3.700876474380493,102339.0,3.393876075744629,2.874037742614746,0.8268387317657471,0.04635573923587799,4.567787170410156,18720.0,3.817561388015747,0.7502257227897644,2.372274398803711,8211.0,1.3871383666992188,0.9851360321044922,3.920712947845459,53317.0,3.1940314769744873,0.7266814112663269,2.24218487739563,97.0,1.4636414051055908,0.7785435318946838,2.932533025741577,21994.0,1.8565722703933716,1.0759607553482056
Linear,128,346.8838285128586,2.918590545654297,102339.0,2.91725492477417,2.09175181388855,0.8268387317657471,0.190924271941185,2.8744282722473145,18720.0,2.1242024898529053,0.7502257227897644,2.013106107711792,8211.0,1.0279700756072998,0.9851360321044922,3.2263240814208984,53317.0,2.4996426105499268,0.7266814112663269,1.5810258388519287,97.0,0.8024823069572449,0.7785435318946838,2.554126024246216,21994.0,1.4781652688980103,1.0759607553482056
Linear,256,692.7800000747666,2.4567761421203613,102339.0,2.4678759574890137,1.6299374103546143,0.8268387317657471,0.3181875944137573,2.150892972946167,18720.0,1.4006671905517578,0.7502257227897644,1.824536681175232,8211.0,0.8394006490707397,0.9851360321044922,2.713392734527588,53317.0,1.9867112636566162,0.7266814112663269,1.267860770225525,97.0,0.48931723833084106,0.7785435318946838,2.3363232612609863,21994.0,1.2603625059127808,1.0759607553482056
Linear,384,997.1324913632125,2.110804319381714,102339.0,2.1459994316101074,1.2839655876159668,0.8268387317657471,0.415872722864151,1.7053210735321045,18720.0,0.9550953507423401,0.7502257227897644,1.7611916065216064,8211.0,0.7760555744171143,0.9851360321044922,2.283559799194336,53317.0,1.5568783283233643,0.7266814112663269,1.2233837842941284,97.0,0.4448402523994446,0.7785435318946838,2.1715755462646484,21994.0,1.0956147909164429,1.0759607553482056
Linear,512,1322.2440698100254,1.9319723844528198,102339.0,1.9287161827087402,1.1051336526870728,0.8268387317657471,0.46263885498046875,1.4985064268112183,18720.0,0.7482807040214539,0.7502257227897644,1.68174147605896,8211.0,0.6966054439544678,0.9851360321044922,2.061382293701172,53317.0,1.3347008228302002,0.7266814112663269,1.166804313659668,97.0,0.38826078176498413,0.7785435318946838,2.083996057510376,21994.0,1.0080353021621704,1.0759607553482056
