seed,move_range,positions,cnn_kl,transformer_kl,weighted_gap,fraction_of_paired_gap
91312427,Moves 1–16,247040.0,0.11666011810302734,0.1268066167831421,0.0018063763409942434,0.5092070376058552
91312427,Moves 17–64,723954.0,0.19194161891937256,0.1935199499130249,0.0008234435108501795,0.23212396070521885
91312427,Moves 65–128,402146.0,0.03101348876953125,0.03399991989135742,0.0008654879200351012,0.24397603635693965
91312427,Moves 129–256,14495.0,0.0048084259033203125,0.009806632995605469,5.221042406877409e-05,0.01471781642001179
91312428,Moves 1–16,247040.0,0.11391317844390869,0.12374353408813477,0.0017500935464654678,0.27736347486545615
91312428,Moves 17–64,723954.0,0.19011104106903076,0.19772303104400635,0.003971311324911432,0.6293930464886196
91312428,Moves 65–128,402146.0,0.031046152114868164,0.03305506706237793,0.0005821971271128662,0.09226947814237685
91312428,Moves 129–256,14495.0,0.005437135696411133,0.006021738052368164,6.106657117755871e-06,0.0009678132014219505
