seed,arm,update,minimum_learning_seconds,maximum_learning_seconds,position_policy_kl,family_policy_kl,training_position_exposures
91312427,CNN,0,0.0,0.0,2.0178277492523193,1.4997551441192627,0
91312427,CNN,256,477.08096026376006,482.4464554338774,0.4617292881011963,0.3312351703643799,3159548.0
91312427,CNN,512,932.5436854907894,938.4755040427845,0.32443809509277344,0.22706007957458496,6226307.0
91312427,CNN,768,1392.2104439916147,1399.4400212244946,0.26962780952453613,0.1896669864654541,9314964.0
91312427,CNN,1024,1853.221557726618,1861.4451463445148,0.2584429979324341,0.17949318885803223,12411861.0
91312427,CNN,1280,2324.007614810602,2332.9014925185475,0.21756815910339355,0.15303635597229004,15550133.0
91312427,CNN,1536,2775.9549702634104,2785.698107807577,0.20752954483032227,0.14226031303405762,18600993.0
91312427,CNN,1792,3242.021716609277,3252.72764973453,0.1941002607345581,0.13611626625061035,21723452.0
91312427,CNN,2048,3697.0946400960383,3708.688835106499,0.17938601970672607,0.12443709373474121,24788738.0
91312427,CNN,2304,4166.443968816806,4178.80666221134,0.17472636699676514,0.12048673629760742,27919219.0
91312427,CNN,2560,4626.301542320201,4639.260161623213,0.16278648376464844,0.11301374435424805,31008348.0
91312427,CNN,2816,5090.890730973304,5104.098663320212,0.1525801420211792,0.10569930076599121,34114038.0
91312427,CNN,3072,5565.823916651425,5578.6096482949215,0.14665043354034424,0.10270500183105469,37262583.0
91312427,CNN,3328,6034.58647567741,6047.002937938843,0.14245402812957764,0.09919333457946777,40389061.0
91312427,CNN,3584,6502.901950571308,6515.092023551086,0.1365269422531128,0.09416747093200684,43514480.0
91312427,CNN,3840,6976.096204724308,6987.842912777356,0.1316847801208496,0.09112000465393066,46660588.0
91312427,CNN,4096,7438.128148950986,7449.535159535677,0.12994647026062012,0.08986163139343262,49753641.0
91312427,Transformer,0,0.0,0.0,2.161144971847534,1.628530502319336,0
91312427,Transformer,256,379.81905241386266,388.8918804474524,0.49916625022888184,0.35453009605407715,3159548.0
91312427,Transformer,512,741.3705876971944,750.6226574105385,0.366274356842041,0.2587106227874756,6226307.0
91312427,Transformer,768,1107.4194462943997,1116.3124628717487,0.30177295207977295,0.21312570571899414,9314964.0
91312427,Transformer,1024,1475.3866644801456,1483.553075154894,0.2666078805923462,0.18985342979431152,12411861.0
91312427,Transformer,1280,1852.1163642482425,1858.611578920536,0.23174893856048584,0.16458845138549805,15550133.0
91312427,Transformer,1536,2211.517134775553,2217.612834560161,0.2166353464126587,0.15411019325256348,18600993.0
91312427,Transformer,1792,2583.749074850639,2588.919791794062,0.2030484676361084,0.14242124557495117,21723452.0
91312427,Transformer,2048,2946.1045549047412,2950.690032239072,0.18816351890563965,0.1318662166595459,24788738.0
91312427,Transformer,2304,3320.442469009751,3324.705588112236,0.17425906658172607,0.12256169319152832,27919219.0
91312427,Transformer,2560,3685.831207600626,3690.309583295224,0.1670464277267456,0.11620235443115234,31008348.0
91312427,Transformer,2816,4055.5450958956208,4060.054144098074,0.15609776973724365,0.10939431190490723,34114038.0
91312427,Transformer,3072,4433.2823236366385,4437.981820368237,0.14883363246917725,0.1054849624633789,37262583.0
91312427,Transformer,3328,4805.714556799736,4810.879699844372,0.14549100399017334,0.1007988452911377,40389061.0
91312427,Transformer,3584,5178.383782154968,5183.679353168147,0.14078092575073242,0.09785723686218262,43514480.0
91312427,Transformer,3840,5555.237949012051,5560.27905674369,0.1347804069519043,0.09418916702270508,46660588.0
91312427,Transformer,4096,5922.694254274014,5927.112590880424,0.13349390029907227,0.09345388412475586,49753641.0
91312428,CNN,0,0.0,0.0,2.015233278274536,1.500084638595581,0
91312428,CNN,256,461.9311226280988,485.3204167939548,0.4380214214324951,0.3142740726470947,3096705.0
91312428,CNN,512,923.9087956945878,947.0156601880735,0.31920313835144043,0.2283027172088623,6184993.0
91312428,CNN,768,1398.2705184918595,1421.3631450479152,0.2726224660873413,0.1903693675994873,9330113.0
91312428,CNN,1024,1855.4668881328835,1878.2006850744365,0.24944186210632324,0.1789555549621582,12405982.0
91312428,CNN,1280,2317.124868441955,2339.7888106083847,0.22270357608795166,0.15564680099487305,15503819.0
91312428,CNN,1536,2788.492111455853,2810.8778746002645,0.20054888725280762,0.14116477966308594,18640523.0
91312428,CNN,1792,3250.06749771093,3272.7329351497465,0.1881955862045288,0.13419294357299805,21733791.0
91312428,CNN,2048,3719.8390568519826,3742.252440429671,0.177911639213562,0.12455916404724121,24868052.0
91312428,CNN,2304,4177.17643745782,4199.289695303538,0.16973161697387695,0.11736440658569336,27945642.0
91312428,CNN,2560,4647.270130528515,4668.692539790733,0.16317832469940186,0.11238360404968262,31072336.0
91312428,CNN,2816,5117.705840739654,5138.230351379811,0.15850889682769775,0.1078484058380127,34199728.0
91312428,CNN,3072,5578.57237229569,5598.463022956043,0.14692676067352295,0.1016840934753418,37289899.0
91312428,CNN,3328,6050.478327648685,6069.637000738236,0.14039373397827148,0.096832275390625,40426395.0
91312428,CNN,3584,6516.127691770525,6534.595362500113,0.13769936561584473,0.09434628486633301,43531412.0
91312428,CNN,3840,6986.3949467808125,7004.232330373139,0.13153457641601562,0.09153223037719727,46660864.0
91312428,CNN,4096,7454.645759501698,7472.188079483341,0.12851834297180176,0.09000468254089355,49789538.0
91312428,Transformer,0,0.0,0.0,2.2068824768066406,1.716614007949829,0
91312428,Transformer,256,367.87888305514934,376.87532979316893,0.4940047264099121,0.3583250045776367,3096705.0
91312428,Transformer,512,735.6655377463612,744.5287558390992,0.36985278129577637,0.2662312984466553,6184993.0
91312428,Transformer,768,1114.0908313592954,1122.2720094419783,0.3112446069717407,0.21988916397094727,9330113.0
91312428,Transformer,1024,1477.3907704743615,1485.1647896878421,0.2631014585494995,0.18761754035949707,12405982.0
91312428,Transformer,1280,1845.133494495618,1852.1960063478327,0.23863589763641357,0.16607666015625,15503819.0
91312428,Transformer,1536,2221.4909092365124,2227.4241963017557,0.2160642147064209,0.15363192558288574,18640523.0
91312428,Transformer,1792,2589.5842680913047,2594.619158117828,0.1959061622619629,0.14107704162597656,21733791.0
91312428,Transformer,2048,2963.853350531077,2968.69103423701,0.1899867057800293,0.13365888595581055,24868052.0
91312428,Transformer,2304,3326.712815553823,3331.6865046510648,0.17577672004699707,0.12470531463623047,27945642.0
91312428,Transformer,2560,3700.362562341179,3705.8081915729854,0.17129969596862793,0.11974763870239258,31072336.0
91312428,Transformer,2816,4074.126010177948,4079.898622905195,0.1586703062057495,0.11085700988769531,34199728.0
91312428,Transformer,3072,4439.92493586184,4445.651271324285,0.15398192405700684,0.10605311393737793,37289899.0
91312428,Transformer,3328,4815.106873139826,4820.826576154475,0.14669060707092285,0.10159492492675781,40426395.0
91312428,Transformer,3584,5185.000065825239,5190.694300743198,0.14057660102844238,0.09820413589477539,43531412.0
91312428,Transformer,3840,5558.983855931059,5564.638633467373,0.13576197624206543,0.0948326587677002,46660864.0
91312428,Transformer,4096,5931.741248029168,5937.838763768465,0.1348280906677246,0.09425640106201172,49789538.0
91312427,Transformer scale0.01,0,0.0,0.0,2.1673803329467773,1.6331291198730469,0
91312427,Transformer scale0.01,256,379.78394946613116,388.0579605179664,0.5011541843414307,0.36093664169311523,3159548.0
91312427,Transformer scale0.01,512,742.143038484588,749.8299435837835,0.3539576530456543,0.25873780250549316,6226307.0
91312427,Transformer scale0.01,768,1109.1840932386403,1116.017189217906,0.2923119068145752,0.2083907127380371,9314964.0
91312427,Transformer scale0.01,1024,1477.5153924956103,1483.4508633410733,0.26207971572875977,0.18820953369140625,12411861.0
91312427,Transformer scale0.01,1280,1854.1445570916403,1859.0086029892263,0.23486328125,0.16894173622131348,15550133.0
91312427,Transformer scale0.01,1536,2214.597302565642,2218.194216483418,0.21144747734069824,0.15237855911254883,18600993.0
91312427,Transformer scale0.01,1792,2587.1084532654495,2589.6823382744915,0.20023655891418457,0.14110207557678223,21723452.0
91312427,Transformer scale0.01,2048,2950.2502050593903,2951.5570537135354,0.1873992681503296,0.13215088844299316,24788738.0
91312427,Transformer scale0.01,2304,3324.5103059353714,3325.898725069361,0.17232155799865723,0.12380599975585938,27919219.0
91312427,Transformer scale0.01,2560,3690.607964537252,3692.843816622015,0.16368961334228516,0.11615157127380371,31008348.0
91312427,Transformer scale0.01,2816,4060.6570454503235,4064.1339285087306,0.15440356731414795,0.10941481590270996,34114038.0
91312427,Transformer scale0.01,3072,4438.771062452492,4443.276136698725,0.14803385734558105,0.10495829582214355,37262583.0
91312427,Transformer scale0.01,3328,4811.615511032665,4816.994242881396,0.14425063133239746,0.1004633903503418,40389061.0
91312427,Transformer scale0.01,3584,5184.9032121817,5191.401188549236,0.1375824213027954,0.09780430793762207,43514480.0
91312427,Transformer scale0.01,3840,5562.398327681032,5569.45668249164,0.13371634483337402,0.09434223175048828,46660588.0
91312427,Transformer scale0.01,4096,5930.214131948946,5937.934026188625,0.13197600841522217,0.09282946586608887,49753641.0
