arm,turn,learning_seconds,expert_kl,family_kl
cnn,0,0.0,2.0178277492523193,1.4997551441192627
cnn,256,477.08096026376006,0.4617292881011963,0.3312351703643799
cnn,512,932.5436854907894,0.32443809509277344,0.22706007957458496
cnn,768,1392.2104439916147,0.26962780952453613,0.1896669864654541
cnn,1024,1853.221557726618,0.2584429979324341,0.17949318885803223
cnn,1280,2324.007614810602,0.21756815910339355,0.15303635597229004
cnn,1536,2775.9549702634104,0.20752954483032227,0.14226031303405762
cnn,1792,3242.021716609277,0.1941002607345581,0.13611626625061035
cnn,2048,3697.0946400960383,0.17938601970672607,0.12443709373474121
cnn,2304,4166.443968816806,0.17472636699676514,0.12048673629760742
cnn,2560,4626.301542320201,0.16278648376464844,0.11301374435424805
cnn,2816,5090.890730973304,0.1525801420211792,0.10569930076599121
cnn,3072,5565.823916651425,0.14665043354034424,0.10270500183105469
cnn,3328,6034.58647567741,0.14245402812957764,0.09919333457946777
cnn,3584,6502.901950571308,0.1365269422531128,0.09416747093200684
cnn,3840,6976.096204724308,0.1316847801208496,0.09112000465393066
cnn,4096,7438.128148950986,0.12994647026062012,0.08986163139343262
transformer,0,0.0,2.161144971847534,1.628530502319336
transformer,256,379.81905241386266,0.49916625022888184,0.35453009605407715
transformer,512,741.3705876971944,0.366274356842041,0.2587106227874756
transformer,768,1107.4194462943997,0.30177295207977295,0.21312570571899414
transformer,1024,1475.3866644801456,0.2666078805923462,0.18985342979431152
transformer,1280,1852.1163642482425,0.23174893856048584,0.16458845138549805
transformer,1536,2211.517134775553,0.2166353464126587,0.15411019325256348
transformer,1792,2583.749074850639,0.2030484676361084,0.14242124557495117
transformer,2048,2946.1045549047412,0.18816351890563965,0.1318662166595459
transformer,2304,3320.442469009751,0.17425906658172607,0.12256169319152832
transformer,2560,3685.831207600626,0.1670464277267456,0.11620235443115234
transformer,2816,4055.5450958956208,0.15609776973724365,0.10939431190490723
transformer,3072,4433.2823236366385,0.14883363246917725,0.1054849624633789
transformer,3328,4805.714556799736,0.14549100399017334,0.1007988452911377
transformer,3584,5178.383782154968,0.14078092575073242,0.09785723686218262
transformer,3840,5555.237949012051,0.1347804069519043,0.09418916702270508
transformer,4096,5922.694254274014,0.13349390029907227,0.09345388412475586
