label,turn,learning_seconds,expert_ce,expert_count,expert_entropy,expert_kl,expert_target_entropy,expert_top1,phase_0_16_ce,phase_0_16_count,phase_0_16_kl,phase_0_16_target_entropy,phase_128_256_ce,phase_128_256_count,phase_128_256_kl,phase_128_256_target_entropy,phase_16_64_ce,phase_16_64_count,phase_16_64_kl,phase_16_64_target_entropy,phase_256_2048_ce,phase_256_2048_count,phase_256_2048_kl,phase_256_2048_target_entropy,phase_64_128_ce,phase_64_128_count,phase_64_128_kl,phase_64_128_target_entropy
CNN 1e-03,0,0.0,3.5389537811279297,102339.0,3.532871723175049,2.7121150493621826,0.8268387317657471,0.04347316175699234,4.322401523590088,18720.0,3.5721757411956787,0.7502257227897644,2.257781505584717,8211.0,1.2726454734802246,0.9851360321044922,3.7836010456085205,53317.0,3.056919574737549,0.7266814112663269,2.149548053741455,97.0,1.371004581451416,0.7785435318946838,2.763491630554199,21994.0,1.6875308752059937,1.0759607553482056
CNN 1e-03,128,248.83064174465835,1.7811872959136963,102339.0,1.8892383575439453,0.9543485641479492,0.8268387317657471,0.49217793345451355,1.6926231384277344,18720.0,0.94239741563797,0.7502257227897644,1.782216191291809,8211.0,0.7970801591873169,0.9851360321044922,1.6876845359802246,53317.0,0.9610031247138977,0.7266814112663269,1.444847583770752,97.0,0.6663040518760681,0.7785435318946838,2.0843331813812256,21994.0,1.00837242603302,1.0759607553482056
CNN 1e-03,256,498.9221616401337,1.4951355457305908,102339.0,1.4579285383224487,0.6682968139648438,0.8268387317657471,0.5794955492019653,1.255662202835083,18720.0,0.5054364800453186,0.7502257227897644,1.6520004272460938,8211.0,0.6668643951416016,0.9851360321044922,1.3904001712799072,53317.0,0.6637187600135803,0.7266814112663269,1.1761592626571655,97.0,0.3976157307624817,0.7785435318946838,1.89570152759552,21994.0,0.8197407722473145,1.0759607553482056
CNN 1e-03,384,730.0752828978002,1.4041963815689087,102339.0,1.385809302330017,0.5773576498031616,0.8268387317657471,0.6046863794326782,1.155951738357544,18720.0,0.40572601556777954,0.7502257227897644,1.6209516525268555,8211.0,0.6358156204223633,0.9851360321044922,1.2818862199783325,53317.0,0.5552048087120056,0.7266814112663269,1.150055170059204,97.0,0.37151163816452026,0.7785435318946838,1.8321877717971802,21994.0,0.7562270164489746,1.0759607553482056
CNN 1e-03,512,970.6509323352948,1.336199402809143,102339.0,1.3050528764724731,0.509360671043396,0.8268387317657471,0.6309715509414673,1.106787085533142,18720.0,0.3565613627433777,0.7502257227897644,1.5401581525802612,8211.0,0.555022120475769,0.9851360321044922,1.2228790521621704,53317.0,0.4961976408958435,0.7266814112663269,1.111223816871643,97.0,0.33268028497695923,0.7785435318946838,1.7310172319412231,21994.0,0.6550564765930176,1.0759607553482056
CNN 1e-03,640,1212.8508313531056,1.3715622425079346,102339.0,1.3590917587280273,0.5447235107421875,0.8268387317657471,0.6195585131645203,1.1259671449661255,18720.0,0.3757414221763611,0.7502257227897644,1.4825483560562134,8211.0,0.4974123239517212,0.9851360321044922,1.2706165313720703,53317.0,0.5439351201057434,0.7266814112663269,1.033729076385498,97.0,0.2551855444908142,0.7785435318946838,1.7853631973266602,21994.0,0.7094024419784546,1.0759607553482056
CNN 1e-03,768,1450.2920167171396,1.2859854698181152,102339.0,1.2966989278793335,0.45914673805236816,0.8268387317657471,0.6494004726409912,1.058889627456665,18720.0,0.30866390466690063,0.7502257227897644,1.4752156734466553,8211.0,0.4900796413421631,0.9851360321044922,1.1734514236450195,53317.0,0.4467700123786926,0.7266814112663269,1.0636003017425537,97.0,0.2850567698478699,0.7785435318946838,1.68241286277771,21994.0,0.6064521074295044,1.0759607553482056
CNN 1e-03,896,1687.7601211057045,1.2578654289245605,102339.0,1.2183388471603394,0.4310266971588135,0.8268387317657471,0.6632270812988281,1.0483444929122925,18720.0,0.2981187701225281,0.7502257227897644,1.3352679014205933,8211.0,0.3501318693161011,0.9851360321044922,1.1666789054870605,53317.0,0.43999749422073364,0.7266814112663269,0.9938921332359314,97.0,0.21534860134124756,0.7785435318946838,1.6295160055160522,21994.0,0.5535552501678467,1.0759607553482056
CNN 1e-03,1024,1918.8915039733984,1.2472000122070312,102339.0,1.1748729944229126,0.4203612804412842,0.8268387317657471,0.6665884852409363,1.0417147874832153,18720.0,0.2914890646934509,0.7502257227897644,1.3263816833496094,8211.0,0.3412456512451172,0.9851360321044922,1.1566455364227295,53317.0,0.4299641251564026,0.7266814112663269,0.9594025611877441,97.0,0.1808590292930603,0.7785435318946838,1.613324761390686,21994.0,0.5373640060424805,1.0759607553482056
Transformer 3e-04,0,0.0,3.676152467727661,102339.0,3.418891429901123,2.849313735961914,0.8268387317657471,0.04971711337566376,4.453964710235596,18720.0,3.7037389278411865,0.7502257227897644,2.3775641918182373,8211.0,1.3924281597137451,0.9851360321044922,3.9290988445281982,53317.0,3.2024173736572266,0.7266814112663269,2.18087100982666,97.0,1.402327537536621,0.7785435318946838,2.8923377990722656,21994.0,1.81637704372406,1.0759607553482056
