series,update,position_policy_kl,family_policy_kl,positions,opening_families
cnn validation,0,2.0178277492523193,1.4997551441192627,1387635.0,2811.0000240802765
cnn validation,256,0.4617292881011963,0.3312351703643799,1387635.0,2811.0000240802765
cnn validation,512,0.32443809509277344,0.22706007957458496,1387635.0,2811.0000240802765
cnn validation,768,0.26962780952453613,0.1896669864654541,1387635.0,2811.0000240802765
cnn validation,1024,0.2584429979324341,0.17949318885803223,1387635.0,2811.0000240802765
cnn validation,1280,0.21756815910339355,0.15303635597229004,1387635.0,2811.0000240802765
cnn validation,1536,0.20752954483032227,0.14226031303405762,1387635.0,2811.0000240802765
cnn validation,1792,0.1941002607345581,0.13611626625061035,1387635.0,2811.0000240802765
cnn validation,2048,0.17938601970672607,0.12443709373474121,1387635.0,2811.0000240802765
cnn validation,2304,0.17472636699676514,0.12048673629760742,1387635.0,2811.0000240802765
cnn validation,2560,0.16278648376464844,0.11301374435424805,1387635.0,2811.0000240802765
cnn validation,2816,0.1525801420211792,0.10569930076599121,1387635.0,2811.0000240802765
cnn validation,3072,0.14665043354034424,0.10270500183105469,1387635.0,2811.0000240802765
cnn validation,3328,0.14245402812957764,0.09919333457946777,1387635.0,2811.0000240802765
cnn validation,3584,0.1365269422531128,0.09416747093200684,1387635.0,2811.0000240802765
cnn validation,3840,0.1316847801208496,0.09112000465393066,1387635.0,2811.0000240802765
cnn training probe,0,1.864968180656433,1.7381222248077393,388049.0,2204.999973297119
cnn training probe,256,0.3985499143600464,0.3971421718597412,388049.0,2204.999973297119
cnn training probe,512,0.2548609972000122,0.2691669464111328,388049.0,2204.999973297119
cnn training probe,768,0.20438146591186523,0.2212209701538086,388049.0,2204.999973297119
cnn training probe,1024,0.19272196292877197,0.20952439308166504,388049.0,2204.999973297119
cnn training probe,1280,0.15763914585113525,0.17572593688964844,388049.0,2204.999973297119
cnn training probe,1536,0.14349055290222168,0.16202902793884277,388049.0,2204.999973297119
cnn training probe,1792,0.1370450258255005,0.15497899055480957,388049.0,2204.999973297119
cnn training probe,2048,0.1219257116317749,0.1391921043395996,388049.0,2204.999973297119
cnn training probe,2304,0.11514091491699219,0.13254153728485107,388049.0,2204.999973297119
cnn training probe,2560,0.10621166229248047,0.12321031093597412,388049.0,2204.999973297119
cnn training probe,2816,0.09738481044769287,0.11420297622680664,388049.0,2204.999973297119
cnn training probe,3072,0.09307599067687988,0.10952234268188477,388049.0,2204.999973297119
cnn training probe,3328,0.08791124820709229,0.10476350784301758,388049.0,2204.999973297119
cnn training probe,3584,0.08173954486846924,0.09777545928955078,388049.0,2204.999973297119
cnn training probe,3840,0.07836043834686279,0.09402883052825928,388049.0,2204.999973297119
