arm,split,turn,learning_seconds,expert_kl,family_kl,value_mse,value_family_mse
source_cnn,validation_history,0,0.0,2.42279964353622,2.4661592730314443,0.92998914026991,0.9225447082157319
source_cnn,validation_history,9,478.76473179098684,2.415991471747271,2.459376285903471,0.9064490496934302,0.8998533768461231
source_cnn,validation_history,18,957.2359639890492,2.4041846296021743,2.4475980381809346,0.8382355742713655,0.8342503386219887
source_cnn,validation_history,27,1411.6772349130188,2.2099634808002535,2.252735618296159,0.6241567299223778,0.6347564421873457
source_cnn,validation_history,36,1842.3690640179848,1.6874631788440966,1.7242780411524126,0.3037538891029725,0.3094005629639047
source_cnn,validation_history,45,2320.8859237599245,1.3491318663275078,1.3771938868110731,0.3317702721603421,0.33789474803448083
source_cnn,validation_history,54,2847.751984455943,1.270029558656733,1.2968575022561155,0.4585113495016816,0.468548926402577
source_cnn,validation_history,63,3302.1541848989436,1.0851380451539794,1.108908537837519,0.2803672783946352,0.29043560006105223
source_cnn,validation_history,72,3756.83846664094,0.9939623509917639,1.0163672572980387,0.20086763928813123,0.20894269992781825
source_cnn,validation_history,81,4235.13542399992,1.017834139759306,1.0418452214220357,0.2765321820790446,0.2901038183724159
source_cnn,validation_history,90,4689.926326698944,0.8920555820937146,0.9135058258753275,0.19819648909225498,0.207383504716197
source_cnn,validation_history,99,5120.501102220936,0.9422505122887084,0.9647691076937845,0.23279057203374728,0.24612239720398066
source_cnn,validation_history,108,5550.532999191986,0.8016416954540175,0.823065845673606,0.15781617609145163,0.16885146925554034
source_cnn,training_probe_history,0,0.0,2.3690091035111553,2.478385701848482,0.9314950573504922,0.9181358694510677
source_cnn,training_probe_history,9,478.76473179098684,2.3624144946783767,2.4718385308268607,0.9071360256364782,0.8956534968153144
source_cnn,training_probe_history,18,957.2359639890492,2.3509850992222248,2.4604518410550362,0.8361953642509257,0.8308227238641672
source_cnn,training_probe_history,27,1411.6772349130188,2.161808718112126,2.2691717773707847,0.5615411451113401,0.5925193937431774
source_cnn,training_probe_history,36,1842.3690640179848,1.6504597837160189,1.7420251160729512,0.2942624504586644,0.316483503799465
source_cnn,training_probe_history,45,2320.8859237599245,1.3110123062538381,1.3798039253159473,0.3345934250666947,0.36166448526279876
source_cnn,training_probe_history,54,2847.751984455943,1.234620235426009,1.302503444296999,0.45920864566809866,0.4973669657432236
source_cnn,training_probe_history,63,3302.1541848989436,1.0564793031185458,1.1137696607814491,0.2786626058967854,0.30845675342390844
source_cnn,training_probe_history,72,3756.83846664094,0.9662403708389933,1.0198751254299343,0.20538658972701967,0.23134158986970804
source_cnn,training_probe_history,81,4235.13542399992,0.9864302821995423,1.0444227630707785,0.26858768144078066,0.3052386983916018
source_cnn,training_probe_history,90,4689.926326698944,0.8649104592691144,0.9169808714501886,0.19143452630240798,0.21658598026840256
source_cnn,training_probe_history,99,5120.501102220936,0.9164820011443351,0.9698961724924375,0.23316162431909737,0.2674798401479103
source_cnn,training_probe_history,108,5550.532999191986,0.7774106918575443,0.8277197400934715,0.14697066432827316,0.17108816673590582
cnn_adamw,validation_history,0,0.0,2.42279964353622,2.4661592730314443,0.92998914026991,0.9225447082157319
cnn_adamw,validation_history,9,477.3482677360298,2.31476682569691,2.3602691428302776,0.8825917553074303,0.888108553984506
cnn_adamw,validation_history,18,954.9584289010381,1.8639624008858076,1.8984689584636834,0.770605842955324,0.7700951274459735
cnn_adamw,validation_history,27,1408.0000628970738,1.7266809659538604,1.7617256710888634,1.095702404128272,1.1093632020613942
cnn_adamw,validation_history,36,1837.47493962702,1.644961132540351,1.6762549887663574,0.6518302787379321,0.6539062613315545
cnn_adamw,validation_history,45,2314.7334809390013,1.8102298048352385,1.844642128949491,0.6720856200896486,0.6718612333289014
cnn_adamw,validation_history,54,2839.1724728279514,1.4297533828161284,1.459775192207006,0.589609944569662,0.6034112851525594
cnn_adamw,validation_history,63,3292.511846087,1.3770169990949088,1.406621656750613,0.4001323646037661,0.4124229002365724
cnn_adamw,validation_history,72,3745.7158162639826,1.2460012192289827,1.2725655673501657,0.27349188936689256,0.28002132899695253
cnn_adamw,validation_history,81,4222.2220061359985,1.1742035938744113,1.1997404354758698,0.24758464232839558,0.25221532135272634
cnn_adamw,validation_history,90,4675.615809835028,1.0921097333299468,1.1177275199644239,0.21000262251514706,0.2172841968140076
cnn_adamw,validation_history,99,5104.998083283048,1.0456431517121043,1.0712308019491337,0.1825963832128025,0.19044487374298788
cnn_adamw,validation_history,108,5534.319477667072,0.9898418967926812,1.0141815923693414,0.15960292880706453,0.16738954281786245
cnn_adamw,training_probe_history,0,0.0,2.3690091035111553,2.478385701848482,0.9314950573504922,0.9181358694510677
cnn_adamw,training_probe_history,9,477.3482677360298,2.2629733465288506,2.376972337578761,0.8728156857346538,0.8907833923671616
cnn_adamw,training_probe_history,18,954.9584289010381,1.8369036141916162,1.9244995868357373,0.7693058754454069,0.7735909868693804
cnn_adamw,training_probe_history,27,1408.0000628970738,1.6932481323149062,1.7793576208701785,1.0626017029252648,1.1029085666634435
cnn_adamw,training_probe_history,36,1837.47493962702,1.6132595175185607,1.6899699384444853,0.6373090249108023,0.6478017977139443
cnn_adamw,training_probe_history,45,2314.7334809390013,1.7700652584987813,1.8570311550642282,0.6756795289037643,0.6831750770082555
cnn_adamw,training_probe_history,54,2839.1724728279514,1.3903014113465941,1.4634470369206314,0.629091378124971,0.6885603623811053
cnn_adamw,training_probe_history,63,3292.511846087,1.3411061963883668,1.413800265401509,0.3601411244836537,0.3969816633404752
